release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
19-06-2015,Inside Out,175000000.0,356461711.0,854235992.0,"Adventure,Animation,Comedy",2015,95.0,8.2,536181,679235992.0
19-06-2015,Inside Out,175000000.0,356461711.0,854235992.0,"Biography,Documentary,History",2013,75.0,7.5,60,679235992.0
07-07-2017,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,"Action,Adventure,Sci-Fi",2017,133.0,7.5,426302,705166350.0
05-08-2016,Suicide Squad,175000000.0,325100054.0,746059887.0,"Action,Adventure,Fantasy",2016,123.0,6.0,533039,571059887.0
22-11-2017,Coco,175000000.0,209726015.0,798008101.0,"Adventure,Animation,Comedy",2017,105.0,8.4,277194,623008101.0
22-11-2017,Coco,175000000.0,209726015.0,798008101.0,Horror,2017,98.0,7.4,35,623008101.0
16-06-2017,Cars 3,175000000.0,152901115.0,383541369.0,"Adventure,Animation,Comedy",2017,102.0,6.8,59408,208541369.0
12-05-2017,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,"Action,Adventure,Drama",2017,126.0,6.8,169054,-35369664.0
25-12-2013,47 Ronin,175000000.0,38362475.0,151716815.0,"Action,Adventure,Drama",2013,128.0,6.3,135754,-23283185.0
22-06-2018,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,"Action,Adventure,Sci-Fi",2018,128.0,6.2,219125,1135772799.0
01-08-2014,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,"Action,Adventure,Comedy",2014,121.0,8.1,948394,600867516.0
07-05-2010,Iron Man 2,170000000.0,312433331.0,621156389.0,"Action,Adventure,Sci-Fi",2010,124.0,7.0,657690,451156389.0
04-04-2014,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,"Action,Adventure,Sci-Fi",2014,136.0,7.8,666252,544401889.0
11-07-2014,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,"Action,Adventure,Drama",2014,130.0,7.6,390199,540644566.0
01-06-2012,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,"Action,Adventure,Drama",2012,127.0,6.1,258938,231021746.0
29-03-2019,Dumbo,170000000.0,113883318.0,345004422.0,"Adventure,Family,Fantasy",2019,112.0,6.6,25072,175004422.0
22-05-2015,Tomorrowland,170000000.0,93436322.0,206627518.0,"Action,Adventure,Family",2015,130.0,6.4,161343,36627518.0
22-05-2015,Tomorrowland,170000000.0,93436322.0,206627518.0,Documentary,2017,70.0,6.3,7,36627518.0
14-02-2019,Alita: Battle Angel,170000000.0,85710210.0,402976036.0,"Action,Adventure,Sci-Fi",2019,122.0,7.5,88207,232976036.0
31-05-2019,Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,"Action,Adventure,Fantasy",2019,132.0,6.7,36479,129276941.0
27-05-2016,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,"Adventure,Family,Fantasy",2016,113.0,6.2,79951,106928112.0
21-05-2010,Shrek Forever After,165000000.0,238736787.0,756244673.0,"Adventure,Animation,Comedy",2010,93.0,6.3,167532,591244673.0
